Jenis_Kelamin,Program_Studi,Mendukung,Tipe,Brand,Harga,Waktu_Belajar,Nilai_IPS
Perempuan,Teknik Industri,Ya,Notebook / Notebook Touchscreen,ASUS,10000000,7,3
Laki-laki,Teknik Elektro,Ya,Notebook / Notebook Touchscreen,ASUS,6000000,4,3.5
Perempuan,Teknik Industri,Ya,Notebook / Notebook Touchscreen,lainnya,5000000,7,3.5
Laki-laki,Teknik Industri,Ya,Notebook / Notebook Touchscreen,lainnya,10000000,4,3
Perempuan,Teknologi Sains Data,Ya,Notebook / Notebook Touchscreen,Lenovo,15000000,12,3.76
Laki-laki,Teknik Elektro,Tidak,Notebook / Notebook Touchscreen,lainnya,4100000,5,3
Laki-laki,Teknik Robotika dan Kecerdasan Buatan,Ya,Laptop Gaming,Lenovo,9000000,3,3.3
Laki-laki,Rekayasa Nanoteknologi,Ya,Notebook / Notebook Touchscreen,ASUS,6000000,3,3.69
Laki-laki,Teknik Industri,Ya,Notebook / Notebook Touchscreen,ASUS,5000000,3,3.45
Laki-laki,Rekayasa Nanoteknologi,Ya,Laptop Gaming,lainnya,8000000,4,3.5
Laki-laki,Teknik Elektro,Ya,Notebook / Notebook Touchscreen,Hp,2000000,1,3.3
Laki-laki,Teknik Elektro,Ya,Laptop Gaming,ASUS,10000000,2,3.2
Perempuan,Teknik Industri,Ya,Notebook / Notebook Touchscreen,Macbook,10000000,5,3.4
Laki-laki,Teknik Industri,Ya,Notebook / Notebook Touchscreen,ASUS,6000000,4,3.72
Perempuan,Rekayasa Nanoteknologi,Ya,Notebook / Notebook Touchscreen,lainnya,5000000,2,3.68
Perempuan,Rekayasa Nanoteknologi,Ya,Notebook / Notebook Touchscreen,Hp,8000000,6,3.53
Laki-laki,Teknik Elektro,Ya,Laptop Gaming,lainnya,13000000,2,3.16
Laki-laki,Teknik Elektro,Ya,Laptop Gaming,ASUS,7000000,7,3.2
Laki-laki,Teknik Robotika dan Kecerdasan Buatan,Tidak,Notebook / Notebook Touchscreen,lainnya,4000000,2,3.2
Perempuan,Teknik Robotika dan Kecerdasan Buatan,Ya,Notebook / Notebook Touchscreen,ASUS,7000000,4,3.42
Laki-laki,Teknik Robotika dan Kecerdasan Buatan,Ya,Laptop Gaming,lainnya,18000000,12,3.5
